arxiv_id,v1_date,title,one_line_claim,relation_to_us,covers,verified
2607.14642,2026-07-16,MCPEvol-Bench: Benchmarking LLM Agent Performance Across Dynamic Evolutions of MCP Servers,"11 LLM-driven mutation operators over 123 MCP servers; 12 models; GPT-5.4/Claude-Sonnet-4-6 drop 13.7%/14.4% on evolved servers","CLOSEST NEIGHBOR. LLM-driven compound mutations with backward compatibility preserved; judge-scored; no silent-failure accounting; no diff/schema/retry recovery arms; full-text read done",C1-partial C4,yes
2606.25819,2026-06-24,Beyond Function Calling: Benchmarking Tool-Using Agents under Tool-Environment Unreliability,"Five injected hazards incl. Specification Drift (documented vs runtime contract); NL hints post-failure recover 60-80% of lost accuracy; 12 models","THREAT READ DONE. Drift instances are GPT-5.4-generated tool rewrites; hints are procedural prose after task failure; no schema diff no re-injection no silent-failure ledger",C1-partial C3-adjacent C4,yes
2604.01508,2026-04-02,ToolMisuseBench: An Offline Deterministic Benchmark for Tool Misuse and Recovery in Agentic Systems,"Deterministic replayable fault injection incl. 'schema drift'; schema-aware repair baselines reach 0.497 recovery on drift","THREAT READ DONE (paper+code). Mutates the EMITTED CALL not the schema; 'schema aware' = rule-based repair loop against current schema; no LLM prompting; no diff; aggregate bucket only",C1-spirit C3-not,yes
2609.00035,2026-08-29,SilentProbe: Measuring Silent Failure in Production APIs Used as Agent Tools,"HTTP-200 silent failures in live production APIs; 12 models detect 12% repair 0%; schema-level fix removes the failure","Owns production-API silent failure. No induced drift; no drift classes; no diff conditioning. Our C2 slice = silent-failure ledger CONDITIONAL on known drift class",C2-partial C4,yes
2603.05910,2026-03-06,The World Won't Stay Still: Programmable Evolution for Agent Benchmarks,Structured environment evolution as a benchmark-construction problem via graph transformations,Benchmark-construction framing of evolution; predates MCPEvol-Bench; no drift taxonomy / silent accounting / recovery arms,C1-adjacent,yes
2607.11098,2026-07-13,AgentCheck: A Reproduce-Intervene-Mitigate Workbench for LLM Agents over MCP,12 fault types injected into tool RESPONSES; failures usually silent confident use of wrong outputs; retry mitigation tested,Response faults not schema drift; silent framing overlaps C2 vocabulary,C2-adjacent C3-adjacent,yes
2606.05806,2026-06-04,When Tools Fail: Benchmarking Dynamic Replanning and Anomaly Recovery in LLM Agents,2x2 tool-perturbation taxonomy (explicit/implicit transient/permanent); recovery rate drops ~37% on implicit failures; over-trust in corrupted outputs,Runtime tool failures not schema-contract versioning; implicit-failure idea adjacent to C2,C2-adjacent,yes
2607.27353,2026-07-29,LayerRAG-Bench: A Cross-Layer Reliability Benchmark for Agentic RAG,Schema normalization raises schema-drift success 0.000 to 0.913 across nine models,System-side normalization fix not agent-side conditioning; no taxonomy; no silent ledger,C1-partial C4,yes
2605.10990,2026-05-09,Skill Drift Is Contract Violation: Proactive Maintenance for LLM Agent Skill Libraries,Skills silently decay as external services evolve; contract-violation formulation; repair localization 10%->78%; 880-pair benchmark,Offline skill-library maintenance not live tool-calling; silent-decay framing adjacent,C1-adjacent C2-adjacent,yes
2601.06112,2026-01-03,ReliabilityBench: Evaluating LLM Agent Reliability Under Production-Like Stress Conditions,Chaos-style fault injection (timeouts rate limits partial responses schema drift); 2 models,Schema drift one fault among four; no taxonomy; no C2/C3,C1-spirit,yes
